N,Same-T
849000000,445881359
849500000,446146229
850000000,446407235
850500000,446670206
851000000,446934487
851500000,447195326
852000000,447460751
852500000,447730146
853000000,447997232
853500000,448261525
854000000,448519778
854500000,448785994
855000000,449051415
855500000,449317123
856000000,449586561
856500000,449856498
857000000,450119743
857500000,450383747
858000000,450650921
858500000,450915353
859000000,451180680
859500000,451447656
860000000,451714097
860500000,451975623
861000000,452240664
861500000,452504817
862000000,452763025
862500000,453031197
863000000,453290220
863500000,453549542
864000000,453817221
864500000,454084961
865000000,454348327
865500000,454609412
866000000,454870303
866500000,455134882
867000000,455405397
867500000,455670046
868000000,455950746
868500000,456213774
869000000,456484157
869500000,456749976
870000000,457014214
870500000,457278324
871000000,457540898
871500000,457804840
872000000,458066612
